reference	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155																																																																																																																																																												
time 	area																																																																																																																																																																																																																																																																																																																						
0	0	14.518	1.156	25.274	0.896	25.558	0.973	24.63	0.604	21.82	0.962	23.659	0.966	17.189	0.926	14.906	1.897	26.153	0.307	15.736	1.152	22.933	0.225	34.622	0.439	10.949	0.231	12.033	0.453	21.591	3.449	15.346	0.363	0	0	16.638	0.523	28.547	3.351	21.486	2.597	24.767	0.974	24.015	0.579	17.541	0.869	0	0	21.593	1.971	24.63	0.369	21.868	0.661	15.676	0.496	20.161	0.855	24.625	1.479	13.374	2.341	24.627	1.457	23.832	1.073	23.66	1.539	22.84	0.233	23.658	0.657	22.84	0.232	15.017	3.776	23.837	1.011	25.419	19.201	23.495	1.491	12.307	0.527	23.233	3.476	15.472	22.321	24.712	0.548	24.627	0.614	19.035	0.605	12.333	0.425	10.77	12.951	22.519	2.855	24.624	1.327	23.657	1.158	26.146	0.949	24.418	1.035	24.155	0.882	23.493	1.27	23.419	2.092	16.003	1.082	26.14	0.956	24.624	0.565	24.007	1.627	18.506	0.362	32.428	1.772	22.136	0.658	22.737	3.602	13.248	0.447	29.765	0.257	27.332	0.395	47.361	6.763	22.847	0.392	30.391	0.763	24.766	1.31	21.102	0.781	15.683	0.252	16.482	1.082	24.922	2.403	24.419	2.14	13.873	7.991	16.642	0.298	24.152	6.397	23.653	1.103	15.344	0.368	16.312	0.469	23.66	0.729	24.637	0.935	21.87	0.741	23.422	1.459	19.814	0.334	13.759	5.701	35.882	0.396	13.847	0.689	21.484	9.229	11.221	0.447	13.88	6.381	12.958	0.441	26.406	0.3	23.907	0.85	23.83	2.166	0	0	23.426	1.58	20.452	0.534	23.752	0.336	24.713	0.301	23.839	0.978	24.718	0.377	23.423	2.19	24.717	0.398	0	0	21.477	12.827	21.82	0.959	20.449	0.826	23.425	1.183	21.109	0.655	23.424	1.302	17.464	0.275	20.719	3.249	0	0	29.931	0.352	18.635	0.341	30.5	1.825	19.36	0.247	29.753	0.205	17.08	2.047	14.895	0.949	14.659	0.398	13	0.214	26.4	0.715	21.469	4.925	21.94	0.299	11.427	0.628	17.45	0.226	20.957	0.445	16.844	1.246	22.513	3.15	27.975	0.27	24.703	0.411	25.82	1.632	25.882	7.905	26.276	1.4	23.484	2.116	22.9	0.254	22.126	0.241	23.984	2.411	18.483	0.834	12.323	0.397	23.486	5.897	20.434	0.511	23.411	1.791	13.36	3.051	10.632	19.572	11.98	0.285	20.553	0.21	20.044	0.242	22.826	0.233	15.453	12.709
0	0	14.615	1.59	25.419	3.164	25.735	56.331	25.271	1.054	21.875	0.728	23.753	0.437	17.46	0.55	15.014	2.057	26.293	1.339	15.846	1.097	23.229	3.37	35.524	0.671	11.038	1.97	12.152	1.797	21.82	0.895	15.468	16.7	0	0	16.721	6.159	29.261	0.393	21.592	0.903	24.92	0.998	24.152	6.781	17.832	0.213	0	0	21.82	0.649	24.924	0.276	22.521	3.828	15.742	0.802	20.716	2.404	24.711	0.607	13.459	3.156	24.715	0.48	23.906	0.229	23.752	0.814	23.237	2.228	23.793	1.529	23.238	3.093	15.349	0.29	24.165	1.25	25.698	12.634	23.656	1.383	12.34	0.325	23.422	3.187	15.602	0.298	24.767	0.488	24.715	0.423	19.136	0.506	12.463	0.212	11.043	2.542	22.731	3.149	24.713	0.608	23.792	2.195	26.292	0.88	24.623	0.379	24.226	0.241	23.655	0.976	23.496	1.673	16.113	0.975	26.285	1.335	24.713	0.455	24.151	8.028	18.709	0.31	33.082	3.587	22.262	0.43	23.23	1.348	13.47	0.805	29.912	4.7	27.507	0.311	0	0	23.186	1.951	30.637	1.564	24.885	2.284	21.28	0.203	15.743	0.41	16.52	0.647	25.038	0.528	24.625	1.846	13.912	21.103	16.725	3.592	24.421	3.206	23.746	0.461	15.466	17.209	16.482	0.901	23.754	0.411	25.13	0.263	22.257	0.256	23.498	1.002	20.063	0.254	13.88	7.13	48.031	3.794	13.918	6.642	21.593	2.533	11.448	1.679	13.917	8.727	13.066	0.777	26.536	19.903	23.999	0.77	23.94	1.92	0	0	23.5	1.324	20.573	0.291	23.834	0.711	24.924	0.348	23.915	0.347	24.773	0.291	23.497	1.336	24.773	0.282	0	0	21.58	3.556	21.874	0.477	20.577	0.374	23.499	0.922	21.491	18.171	23.499	1.159	17.546	1.057	21.113	0.636	0	0	30.031	0.367	18.699	1.591	30.632	3.476	19.498	0.443	29.897	2.842	17.176	0.355	15.002	4.674	14.895	0.626	13.049	0.899	26.463	3.661	21.58	1.681	22.123	0.214	11.494	0.521	17.532	1.282	21.093	1.096	16.965	1.264	22.726	2.753	28.23	0.311	24.76	0.258	25.879	10.572	26.14	0.69	26.462	5.114	23.648	1.779	23.082	0.237	22.246	0.35	24.14	28.458	18.929	0.258	12.609	2.882	23.643	3.139	20.703	7.267	23.482	1.402	13.445	3.446	10.758	12.27	12.016	0.539	20.701	5.111	20.431	0.446	23.223	5.083	15.724	0.4
0	0	14.688	0.794	25.7	11.976	25.89	5.761	25.42	4.848	22.06	0.471	23.83	1.129	17.542	2.386	15.454	0.295	26.397	0.321	15.911	11.441	23.428	4.742	35.878	0.435	11.139	1.758	12.306	1.202	21.876	0.454	15.6	0.504	0	0	16.849	2.456	29.573	0.452	21.874	0.391	25.032	0.241	24.421	1.436	18.199	0.414	0	0	21.872	0.35	25.251	0.824	22.734	3.204	15.855	0.724	20.862	0.266	24.767	0.548	13.507	1.159	24.773	0.391	24.018	0.219	23.833	1.803	23.426	1.806	23.913	0.476	23.424	1.262	15.468	11.913	24.435	0.243	25.89	7.804	23.831	2.026	12.628	5.416	23.498	1.29	15.668	0.265	24.914	0.845	24.766	0.29	19.186	2.112	12.618	5.372	11.143	2.419	22.827	0.203	24.767	0.546	23.907	0.666	26.406	0.422	25.269	0.958	24.423	0.884	23.745	0.451	23.657	0.707	16.147	0.602	26.407	0.511	24.767	0.422	24.419	2.403	18.807	0.228	33.299	0.724	22.522	1.267	23.424	3.329	13.631	0.971	30.253	0.541	27.564	0.485	0	0	23.233	3.115	30.743	0.433	25.028	1.098	21.399	0.406	15.901	2.733	16.582	0.244	25.119	0.553	24.712	0.634	14.048	14.202	16.853	1.427	24.626	1.335	23.83	0.625	15.599	0.361	16.64	0.268	23.837	0.755	25.258	1	22.523	5.561	23.659	0.551	20.194	0.846	13.917	21.553	0	0	14.053	3.7	21.813	0.966	11.509	1.586	14.055	5.515	13.178	1.485	26.868	0.403	24.153	6.837	23.996	2.537	0	0	23.663	1.134	20.72	5.033	24.021	0.402	25.12	0.224	24.024	0.304	25.12	0.256	23.659	1.118	25.249	0.916	0	0	21.806	1.034	21.96	0.397	20.718	10.895	23.662	0.594	21.82	1.439	23.66	0.734	18.5	0.549	21.487	5.916	0	0	30.293	0.213	18.796	0.301	30.735	3.454	19.811	0.436	30.021	1.608	17.529	0.793	15.096	0.343	15.003	5.795	13.162	2.745	26.525	30.995	21.796	1.269	22.245	0.282	11.577	0.672	18.486	0.634	21.28	0.509	17.03	0.707	23.223	3.91	28.368	0.472	25.238	1	26.138	1.069	26.277	1.627	26.523	24.53	23.745	1.214	23.213	2.306	22.508	8.393	24.41	4.267	19.349	0.477	12.731	1.231	23.777	4.506	21.091	0.909	23.645	1.52	13.552	2.551	10.94	0.48	12.135	3.388	21.091	0.593	20.553	0.248	23.414	4.754	15.894	5.183
0	0	14.784	0.379	25.891	7.436	26.147	0.381	25.7	10.719	22.141	0.35	23.916	0.502	17.837	0.796	15.683	0.21	26.537	3.483	16.001	2.095	23.507	1.864	48.131	8.358	11.433	0.672	12.47	0.227	21.933	0.471	15.789	0.416	0	0	16.97	2.451	29.766	0.482	22.528	2.269	25.246	1.359	24.622	0.569	18.496	0.293	0	0	22.139	0.211	25.424	19.139	23.23	1.01	15.922	15.177	20.964	0.245	24.91	0.814	13.567	1.965	24.916	0.909	24.156	3.469	23.913	0.838	23.499	1.743	24.033	0.228	23.501	1.148	15.607	0.489	24.633	0.629	26.147	0.346	23.913	0.651	12.748	1.322	23.661	0.868	15.731	0.579	25.269	1.215	24.919	0.391	19.233	0.776	12.741	1.754	11.438	1.108	23.229	3.881	24.913	0.855	24	0.7	26.473	1.725	25.416	3.713	24.628	0.652	23.829	0.724	23.831	1.145	16.191	1.603	26.532	20.451	24.927	0.296	24.626	1.576	19.37	0.479	34.163	0.938	22.735	2.197	23.496	3.05	13.76	0.672	30.398	1.762	27.633	0.299	0	0	23.431	3.628	30.877	0.578	25.12	0.462	21.48	2.194	16.152	0.753	16.641	0.466	25.25	1.019	24.767	0.656	14.172	12.729	16.974	1.476	24.715	0.586	23.999	0.936	15.732	0.432	16.723	2.556	23.913	0.298	25.432	17.522	22.734	5.595	23.751	0.314	20.449	0.278	14.053	14.283	0	0	14.178	3.204	21.871	0.736	11.587	0.898	14.176	5.384	13.249	5.991	27.001	0.319	24.42	3.038	24.15	30.916	0	0	23.756	0.622	21.109	0.858	24.158	1.691	25.25	0.951	24.159	4.62	25.252	0.723	23.753	0.531	25.423	21.197	0	0	21.862	0.919	22.527	4.476	21.108	0.833	23.835	1.051	21.876	0.721	23.755	0.501	18.71	0.239	21.593	2.273	0	0	30.392	1.078	19.036	0.343	30.875	1.557	20.057	0.219	30.13	0.883	17.816	1.084	15.191	0.404	15.189	0.296	13.232	10.033	26.86	0.73	21.86	0.499	22.509	3.663	11.685	0.242	18.697	0.202	21.39	0.767	17.085	4.61	23.414	2.752	28.531	3.875	25.409	18.47	26.275	1.715	26.464	5.966	26.859	0.613	23.826	0.657	23.409	1.332	22.72	5.176	24.616	2.687	19.485	0.593	12.838	2.01	23.92	2.385	21.475	23.544	23.819	1.665	13.62	4.952	11.041	5.792	12.288	1.715	21.471	13.979	20.7	6.687	23.486	3.28	16.104	0.675
0	0	14.841	0.283	26.146	0.76	26.288	2.435	25.891	6.203	22.473	0.377	24.005	0.517	18.201	0.58	16.201	0.241	26.653	0.318	16.113	2.068	23.667	0.776	0	0	11.498	0.651	12.626	7.934	22.528	7.338	15.907	8.418	0	0	17.034	0.79	29.913	2.661	22.74	1.82	25.418	5.956	24.917	0.335	18.7	0.546	0	0	22.526	1.369	25.706	3.134	23.426	1.325	16.017	0.966	21.101	0.862	25.03	0.24	13.632	6.345	25.035	0.225	24.423	0.5	23.997	0.998	23.662	0.701	24.157	2.309	23.661	0.727	15.68	0.501	24.72	0.433	26.285	2.81	24.016	0.768	12.855	2.005	23.751	0.398	15.841	0.467	25.418	17.969	25.273	1.128	19.293	0.805	12.847	2.644	11.501	0.85	23.42	3.219	25.031	0.227	24.153	7.514	26.533	19.224	25.699	8.609	24.716	0.411	24.018	0.295	24.155	1.453	16.311	0.841	26.867	0.646	25.246	0.843	24.712	0.672	19.508	0.562	35.529	1.513	22.827	0.295	23.666	1.313	13.88	0.472	30.511	2.72	27.827	1.21	0	0	23.504	1.16	31.05	0.653	25.244	1.879	21.582	0.731	16.315	0.591	16.723	5.405	25.424	3.5	24.92	0.919	14.321	96.083	17.038	0.529	24.766	0.486	24.151	7.159	15.843	0.231	16.852	1.064	24.005	0.257	25.748	1.892	23.232	2.507	23.835	0.5	20.717	2.761	14.177	12.575	0	0	14.326	22.015	22.138	0.259	11.695	0.243	14.327	64.865	13.295	4.241	27.07	1.039	24.629	1.259	24.421	3.78	0	0	23.838	1.144	21.489	8.974	24.426	0.673	25.425	18.427	24.428	0.476	25.425	19.727	23.834	0.743	25.561	0.265	0	0	22.133	0.369	22.739	5.575	21.491	24.614	24.027	0.284	21.933	0.932	23.84	0.667	18.943	0.689	21.82	0.567	0	0	30.638	3.007	19.13	0.27	31.047	1.316	20.444	0.459	30.276	2.573	18.187	0.556	15.332	0.868	15.331	0.563	13.279	5.48	26.988	0.782	22.124	0.316	22.721	3.473	12.019	0.557	18.929	0.335	21.471	4.054	17.181	0.546	23.485	2.147	28.763	0.24	25.691	12.144	26.393	0.916	26.525	30.356	26.988	0.622	23.919	0.824	23.493	0.94	23.217	6.05	24.707	0.85	19.708	0.255	12.943	0.772	23.982	2.978	21.793	2.45	23.996	1.326	13.745	5.013	11.141	5.739	12.454	0.35	21.8	1.178	21.09	0.618	23.658	2.928	16.141	0.771
0	0	14.918	1.181	26.292	0.946	26.407	0.416	26.153	0.35	22.529	2.275	24.153	5.178	18.499	0.363	17.194	0.444	26.872	0.761	16.152	6.598	23.757	0.525	0	0	11.581	0.599	12.747	1.474	22.741	3.94	16.115	0.846	0	0	17.09	6.12	30.027	1.546	23.238	2.018	25.558	0.685	25.27	0.957	18.941	0.214	0	0	22.58	0.862	25.897	1.445	23.492	1.19	16.159	3.797	21.289	0.355	25.269	1.431	13.758	5.284	25.275	1.397	24.629	0.569	24.153	11.108	23.753	0.519	24.424	1.214	23.756	0.427	15.74	0.736	24.773	0.292	26.407	0.427	24.153	6.305	12.962	0.869	23.835	0.66	15.912	12.688	25.699	8.668	25.42	19.774	19.352	1.094	12.961	1.355	11.583	0.636	23.49	3.079	25.244	0.558	24.42	2.939	26.863	0.814	25.889	5.358	24.766	0.287	24.151	4.306	24.427	0.459	16.48	0.733	26.998	0.335	25.419	22.899	24.766	0.573	19.821	0.484	35.888	2.609	23.224	7.374	23.795	2.745	13.918	0.473	30.639	5.707	28.383	0.63	0	0	23.757	0.22	31.177	0.347	25.417	17.499	21.867	1.066	16.486	0.509	16.851	2.163	25.705	13.569	25.028	0.292	14.409	3.292	17.094	3.667	24.914	1.081	24.306	0.453	15.905	9.409	16.972	1.037	24.157	4.085	26.16	0.348	23.42	2.708	23.918	0.304	21.105	0.788	14.326	85.949	0	0	14.416	0.428	22.261	0.273	11.779	0.368	14.415	2.191	13.374	1.211	27.503	0.247	24.716	0.497	24.627	3.83	0	0	23.911	0.833	21.593	2.965	24.63	0.448	25.707	4.139	24.632	0.711	25.709	3.59	23.92	0.492	25.737	1.347	0	0	22.261	0.262	22.84	0.243	21.82	1.673	24.166	1.349	22.142	0.584	23.911	0.51	19.366	0.234	21.874	0.384	0	0	30.742	1.111	19.187	2.248	31.178	0.697	20.566	0.216	30.377	2.714	18.486	0.243	15.466	34.524	15.461	26.285	13.358	3.433	27.059	0.758	22.511	2.779	22.82	0.222	12.138	4.136	19.351	0.314	21.572	1.683	17.227	0.471	23.65	1.782	28.965	0.293	25.82	1.78	26.523	43.092	26.861	0.81	27.058	0.841	23.99	1.113	23.624	4.287	23.409	5.734	24.753	0.923	19.798	0.264	13.007	0.253	24.139	36.807	21.858	2.858	24.08	1.012	13.903	24.23	11.205	0.582	12.608	12.747	21.855	0.845	21.471	15.64	23.745	3.296	16.303	0.481
0	0	15.019	4.363	26.406	0.422	26.533	25.904	26.292	1.166	22.738	3.892	24.421	1.273	18.56	0.248	17.464	0.306	27.001	0.558	16.274	1.757	23.843	1.02	0	0	11.993	0.276	12.854	1.922	22.84	0.231	16.15	1.445	0	0	17.184	0.813	30.253	1.46	23.426	1.197	25.735	44.02	25.42	4.644	19.185	0.645	0	0	22.737	3.07	26.29	0.967	23.656	0.926	16.201	1.434	21.397	0.353	25.418	20.001	13.882	13.336	25.422	17.071	24.921	0.4	24.422	2.156	23.837	1.12	24.629	0.711	23.84	0.614	15.8	0.201	25.253	1.015	26.532	31.517	24.419	3.074	13.023	0.253	24.03	0.469	16.113	0.905	25.891	5.422	25.558	0.491	19.4	0.67	13.016	0.324	11.691	0.217	23.654	2.257	25.418	18.427	24.627	1.218	26.997	0.351	26.146	1.01	24.919	0.646	24.419	0.466	24.629	0.755	16.676	0.818	27.068	1.108	25.698	8.973	24.916	0.774	20.069	0.246	0	0	23.428	2.376	23.911	1.004	14.05	0.203	30.745	4.591	28.549	3.053	0	0	23.843	2.036	31.457	3.651	25.698	30.602	22.138	0.281	16.686	0.266	16.973	2.19	25.896	5.909	25.269	1.098	14.504	0.9	17.19	0.605	25.27	1.073	24.42	1.063	16.113	0.732	17.037	0.544	24.425	0.682	26.31	2.2	23.5	1.925	24.025	0.347	21.485	5.475	14.414	2.865	0	0	14.611	0.354	22.523	5.056	11.841	0.456	14.512	0.554	13.461	1.971	27.56	0.23	24.773	0.404	24.713	2.297	0	0	24.033	0.615	21.82	0.981	24.921	0.436	25.898	1.927	24.721	0.457	25.898	1.66	24.158	1.21	25.898	0.441	0	0	22.466	0.587	23.237	2.766	21.873	0.912	24.43	0.871	22.528	8.032	24.033	0.228	19.503	0.505	22.143	0.211	0	0	30.876	0.848	19.235	0.581	31.293	0.308	20.713	4.438	30.5	0.678	18.622	0.748	15.587	1.312	15.586	1.475	13.443	3.795	27.316	0.527	22.723	2.468	23.218	4.002	12.293	0.504	19.489	0.545	21.653	0.922	17.314	0.233	23.823	3.051	29.159	0.203	25.882	7.034	26.859	0.57	26.991	0.766	27.316	0.396	24.143	17.136	23.735	1.195	23.48	4.968	24.874	1.524	20.045	0.307	13.052	1.002	24.406	6.106	22.126	1.624	24.142	9.438	14.038	12.221	11.434	2.126	12.731	2.154	22.124	0.303	21.8	1.169	23.919	1.781	16.472	0.518
0	0	15.158	0.755	26.533	28.088	26.873	0.535	26.406	0.275	22.84	0.272	24.628	0.587	18.634	0.282	17.546	1.056	27.071	0.904	16.348	0.639	24.032	0.363	0	0	12.025	0.405	12.971	1.192	23.238	4.468	16.196	0.488	0	0	17.232	0.868	30.397	1.375	23.5	1.077	25.89	6.041	25.7	10.319	19.501	0.288	0	0	23.106	0.206	26.538	8.828	23.745	0.884	16.281	0.752	21.478	2.93	25.7	9.796	13.916	24.053	25.701	11.006	25.274	1.125	24.627	1.609	23.919	0.557	24.716	0.327	23.913	0.382	15.85	0.442	25.425	21.841	26.862	0.568	24.626	1.482	13.069	0.838	24.154	3.49	16.15	1.812	26.147	0.888	25.702	7.106	19.434	0.944	13.06	1.367	12.027	0.921	23.746	0.997	25.698	11.081	24.715	0.542	27.068	0.591	26.284	0.842	25.12	0.317	24.626	0.825	24.714	0.371	16.726	0.647	27.325	0.274	25.889	5.477	25.03	0.218	20.198	1.726	0	0	23.491	1.403	24.016	1.059	14.18	0.328	30.879	1.956	29.262	0.598	0	0	24.037	0.207	32.167	6.115	25.889	21.156	22.523	1.362	16.726	1.136	17.037	0.731	26.164	0.489	25.418	18.001	14.604	1.183	17.235	0.474	25.42	18.812	25.246	0.849	16.149	2.295	17.091	3.718	24.63	0.573	26.413	0.323	23.655	1.652	24.157	0.909	21.593	2.175	14.51	0.854	0	0	14.91	0.563	22.736	4.024	11.996	0.366	14.609	0.844	13.51	0.401	27.824	1.264	24.917	0.985	24.849	2.028	0	0	24.16	3.744	21.875	0.816	25.12	0.229	26.153	0.514	24.773	0.378	26.153	0.421	24.425	1.023	26.295	1.53	0	0	22.518	2.476	23.426	1.609	21.933	1.091	24.631	0.41	22.739	6.787	24.158	2.716	19.744	0.211	22.473	0.252	0	0	31.049	0.702	19.292	0.987	31.454	2.993	21.104	0.76	30.621	2.84	18.688	0.823	15.656	0.726	15.656	0.601	13.551	2.74	27.49	0.546	23.216	1.132	23.411	3.598	12.324	0.549	19.711	0.349	21.796	1.1	17.534	1.589	23.913	0.825	29.245	0.322	26.14	0.562	26.985	0.938	27.06	1.36	27.49	0.518	24.412	1.408	23.82	5.069	23.643	2.538	25.018	0.513	20.178	1.202	13.166	1.527	24.613	4.394	22.248	0.964	24.411	1.479	14.163	10.734	11.495	1.769	12.835	3.565	22.248	0.236	21.856	0.927	23.996	1.843	16.714	1.668
0	0	15.214	0.791	26.865	0.241	26.997	0.347	26.533	25.072	23.225	0.824	25.272	1.51	18.7	1.115	18.501	0.605	27.679	0.369	16.38	0.453	24.16	3.321	0	0	12.145	2.634	13.027	0.244	23.427	2.363	16.273	0.295	0	0	17.318	0.46	30.453	2.547	23.662	0.82	26.147	0.415	25.891	6.243	19.719	0.488	0	0	23.232	0.703	26.868	0.683	23.831	1.553	16.32	0.54	21.582	1.778	25.89	6.193	14.053	16.17	25.893	7.34	25.422	21.009	24.715	0.59	24.033	0.493	24.773	0.236	24.159	2.284	15.91	7.57	25.564	0.219	26.997	0.343	24.714	0.7	13.181	1.837	24.327	0.891	16.193	1.163	26.285	1.29	25.833	0.556	19.503	0.541	13.174	3.808	12.084	0.381	23.828	2.379	25.889	7.155	24.767	0.485	27.326	0.309	26.406	0.38	25.249	0.788	24.712	0.575	24.923	0.334	16.811	0.235	27.499	0.273	26.147	0.474	25.248	1.27	20.457	0.474	0	0	23.748	0.274	24.153	9.8	14.327	6.665	31.056	1.092	29.653	0.363	0	0	24.16	2.733	32.45	0.607	26.146	2.439	22.736	2.043	16.856	0.642	17.093	6.596	26.293	1.02	25.557	0.272	14.678	0.511	17.322	0.244	25.559	0.413	25.418	4.319	16.19	0.655	17.188	0.621	24.921	0.503	26.553	2.163	23.791	2.55	24.227	0.617	21.812	0.935	14.609	1.326	0	0	15.016	1.973	23.226	3.635	12.032	0.714	14.693	0.222	13.567	1.247	27.993	0.255	25.036	0.204	25.029	1.011	0	0	24.426	2.447	22.143	0.301	25.274	1.137	26.291	1.368	25.278	1.899	26.291	1.307	24.629	0.787	26.398	0.36	0	0	22.729	2.92	23.5	1.443	22.141	0.749	24.928	0.487	22.84	0.226	24.425	1.023	19.816	0.394	22.531	0.984	0	0	31.18	0.453	19.357	0.559	31.56	0.349	21.483	12.77	30.725	3.939	19.173	0.621	15.721	1.714	15.722	1.065	13.618	5.046	27.548	0.627	23.416	1.848	23.48	2.85	12.614	2.359	19.801	0.463	21.858	1.156	17.827	1.398	24.007	1.276	29.898	2.311	26.276	1.478	27.057	1.087	27.316	0.447	27.547	0.492	24.618	1.206	23.927	0.713	23.733	1.655	25.235	0.681	20.433	0.581	13.191	1.146	24.7	1.297	22.509	9.285	24.613	0.801	14.312	73.699	11.571	1.066	12.955	2.23	22.51	3.647	22.123	0.269	24.081	3.757	16.841	1.017
0	0	15.287	0.328	26.997	0.376	27.069	1.59	26.864	0.324	23.423	2.047	25.42	19.195	18.798	0.21	18.944	0.431	27.825	1.36	16.44	0.492	24.327	0.41	0	0	12.299	1.198	13.067	1.018	23.501	2.073	16.314	0.817	0	0	17.458	0.201	30.64	4.436	23.753	0.457	26.287	2.173	26.146	0.836	19.811	0.258	0	0	23.424	1.276	27.006	0.29	24	0.85	16.357	0.287	21.807	1.59	26.147	0.759	14.177	13.589	26.15	0.58	25.702	6.979	24.766	0.509	24.164	2.635	24.918	0.828	24.424	1.087	16.01	0.894	25.711	2.291	27.069	2.718	24.766	0.651	13.252	10.673	24.445	0.954	16.272	0.353	26.407	0.358	25.892	3.471	19.569	0.833	13.245	12.296	12.146	4.55	23.933	1.327	26.146	0.693	24.913	1.158	27.5	0.286	26.531	22.572	25.423	21.951	24.76	0.479	25.249	1.346	16.861	0.37	27.555	0.427	26.285	1.465	25.418	22.077	20.724	6.235	0	0	23.831	2.886	24.42	2.032	14.416	0.536	31.194	0.774	29.766	0.586	0	0	24.333	0.307	33.08	3.134	26.283	2.898	22.828	0.208	16.974	0.575	17.187	0.713	26.41	0.291	25.7	14.678	14.769	0.219	17.543	1.66	25.702	8.142	25.698	12.083	16.271	0.547	17.233	0.368	25.251	1.16	26.66	0.436	23.905	0.912	24.313	0.422	21.87	0.392	14.685	0.458	0	0	15.204	0.213	23.423	3.623	12.086	0.351	14.91	0.441	13.635	4.572	28.368	0.461	25.249	0.809	25.12	0.391	0	0	24.633	1.446	22.528	5.127	25.423	17.377	26.4	0.344	25.426	25.313	26.4	0.384	24.716	0.465	26.539	2.636	0	0	22.826	0.216	23.661	1.362	22.527	9.774	25.12	0.212	23.237	2.903	24.631	0.756	20.062	0.339	22.58	0.979	0	0	31.3	0.236	19.402	1.409	32.163	5.589	21.813	1.054	30.864	2.615	19.345	0.276	15.833	1.561	15.833	0.999	13.743	5.16	27.668	0.648	23.483	1.512	23.641	2.93	12.735	0.86	20.05	0.402	21.998	0.626	18.191	1.071	24.086	1.927	30.022	1.414	26.462	5.386	27.315	0.64	27.49	0.592	27.668	0.467	25.021	0.295	23.986	1.292	23.817	2.283	25.407	17.462	20.701	6.904	13.236	7.586	24.753	1.578	22.721	7.104	24.908	0.443	14.399	2.572	11.679	0.266	13.01	0.325	22.721	4.778	22.247	0.219	24.144	18.407	16.923	0.48
0	0	15.361	1.277	27.069	0.534	27.324	0.351	27	0.346	23.499	1.559	25.702	8.362	18.943	0.286	19.504	0.458	27.928	0.338	16.484	4.389	24.443	0.968	0	0	12.465	0.273	13.18	2.507	23.663	1.655	16.483	1.243	0	0	17.54	1.005	30.741	4.362	23.837	0.969	26.4	0.283	26.291	1.167	20.055	0.224	0	0	23.498	1.178	27.074	0.966	24.152	5.766	16.39	0.222	21.865	0.669	26.284	1.459	14.328	118.912	26.288	1.716	25.893	3.835	24.926	0.752	24.425	2.22	25.12	0.241	24.633	0.732	16.156	4.424	25.9	1.212	27.324	0.485	24.915	0.941	13.298	5.244	24.633	0.939	16.313	0.485	26.533	22.727	26.146	0.442	19.638	0.325	13.29	6.687	12.217	0.414	23.994	1.734	26.285	1.662	25.035	0.214	27.561	0.375	26.862	1.047	25.737	1.493	24.915	0.367	25.422	27.852	16.967	0.483	27.675	0.304	26.407	0.453	25.698	8.93	20.873	0.256	0	0	23.927	0.221	24.628	0.663	14.467	1.866	31.3	0.445	29.913	5.279	0	0	24.637	0.938	33.237	1.018	26.405	1.654	23.231	6.367	17.04	0.336	17.235	0.763	26.539	28.426	25.889	8.617	14.9	0.876	17.837	0.572	25.833	0.628	25.89	6.993	16.311	0.931	17.46	0.252	25.423	19.237	26.879	0.614	23.998	0.745	24.424	1.217	21.96	0.255	14.773	0.216	0	0	15.348	0.232	23.496	2.75	12.151	4.977	15.018	3.269	13.759	5.064	28.545	4.707	25.422	20.528	25.245	1.942	0	0	24.78	0.888	22.74	4.783	25.707	3.04	26.539	11.164	25.564	0.217	26.539	10.012	24.767	0.335	26.653	0.314	0	0	23.224	0.605	23.836	2.274	22.738	9.64	25.253	0.814	23.427	2.582	24.719	0.475	20.45	0.596	22.74	2.98	0	0	31.458	9.453	19.503	0.869	32.248	0.845	21.868	0.794	31.035	3.259	19.488	0.304	15.905	21.911	15.9	15.28	13.863	7.275	27.808	1.349	23.644	1.777	23.735	1.198	12.842	2.14	20.181	1.189	22.128	0.678	18.625	0.413	24.144	13.282	30.133	0.977	26.524	26.866	27.488	0.783	27.548	0.635	27.809	1.397	25.261	2.094	24.14	17.549	23.92	1.864	25.547	0.308	21.088	0.855	13.281	4.252	24.876	2.851	22.82	0.414	25.259	0.76	14.497	0.812	11.759	0.497	13.052	1.965	22.82	0.224	22.509	7.057	24.412	3.008	16.964	0.573
